

=== New Session 2025-05-19 09:35:45 ===
2025-05-19 09:49:01 - 3 go (81%)
2025-05-19 09:49:01 - 3 go (82%)
2025-05-19 09:49:01 - 3 go (78%)
2025-05-19 09:49:01 - 3 go (82%)
2025-05-19 09:49:01 - 3 go (77%)
2025-05-19 09:49:01 - 3 go (83%)
2025-05-19 09:49:01 - 3 go (93%)
2025-05-19 09:49:01 - 3 go (92%)
2025-05-19 09:49:02 - 3 go (97%)
2025-05-19 09:49:02 - 3 go (97%)
2025-05-19 09:49:02 - 3 go (92%)
2025-05-19 09:49:02 - 3 go (92%)
2025-05-19 09:49:02 - 3 go (94%)
2025-05-19 09:49:03 - 3 go (93%)
2025-05-19 09:49:03 - 3 go (90%)
2025-05-19 09:49:04 - 3 go (82%)
2025-05-19 09:49:04 - 3 go (81%)
2025-05-19 09:49:04 - 23 speed_limit_50kmph (77%)
2025-05-19 09:49:06 - 3 go (87%)
2025-05-19 09:49:11 - 14 only_bicycle (81%)
2025-05-19 09:49:12 - 14 only_bicycle (75%)
2025-05-19 09:49:13 - 14 only_bicycle (82%)
2025-05-19 09:49:13 - 14 only_bicycle (76%)
2025-05-19 09:49:14 - 3 go (77%)
2025-05-19 09:49:14 - 0 circle (90%)
2025-05-19 09:49:15 - 16 only_right (86%)
2025-05-19 09:49:15 - 16 only_right (93%)
2025-05-19 09:49:15 - 16 only_right (82%)
2025-05-19 09:49:15 - 16 only_right (84%)
2025-05-19 09:49:15 - 16 only_right (79%)
2025-05-19 09:49:15 - 16 only_right (81%)
2025-05-19 09:49:16 - 3 go (88%)
2025-05-19 09:49:16 - 7 no_left (78%)
2025-05-19 09:49:16 - 7 no_left (77%)
2025-05-19 09:49:16 - 7 no_left (82%)
2025-05-19 09:49:16 - 7 no_left (87%)
2025-05-19 09:49:16 - 7 no_left (75%)
2025-05-19 09:49:18 - 7 no_left (84%)
2025-05-19 09:49:22 - 0 circle (76%)
2025-05-19 09:49:23 - 0 circle (82%)
2025-05-19 09:49:23 - 0 circle (83%)
2025-05-19 09:49:24 - 7 no_left (81%)
2025-05-19 09:49:25 - 7 no_left (94%)
2025-05-19 09:49:25 - 3 go (75%)
2025-05-19 09:49:25 - 3 go (88%)
2025-05-19 09:49:25 - 3 go (92%)
2025-05-19 09:49:25 - 3 go (90%)
2025-05-19 09:49:25 - 3 go (87%)
2025-05-19 09:49:27 - 13 no_uturn (87%)
2025-05-19 09:49:28 - 13 no_uturn (75%)
2025-05-19 09:49:28 - 13 no_uturn (76%)
